#TYPE Selected.System.ServiceProcess.ServiceController
"Name","StartType"
"Appinfo","Manual"
"AppMgmt","Manual"
"AudioEndpointBuilder","Automatic"
"Audiosrv","Automatic"
"BFE","Automatic"
"BITS","Manual"
"BrokerInfrastructure","Automatic"
"BTAGService","Manual"
"BthAvctpSvc","Manual"
"bthserv","Manual"
"camsvc","Manual"
"cbdhsvc_49e71","Manual"
"CDPSvc","Automatic"
"CDPUserSvc_49e71","Automatic"
"ClipSVC","Manual"
"COMSysApp","Manual"
"CoreMessagingRegistrar","Automatic"
"CryptSvc","Automatic"
"DcomLaunch","Automatic"
"Dhcp","Automatic"
"DiagTrack","Automatic"
"Dnscache","Automatic"
"DPS","Automatic"
"DsSvc","Manual"
"DusmSvc","Automatic"
"EventLog","Automatic"
"EventSystem","Automatic"
"FontCache","Automatic"
"iphlpsvc","Automatic"
"KeyIso","Manual"
"LanmanServer","Automatic"
"LanmanWorkstation","Automatic"
"LicenseManager","Manual"
"lmhosts","Manual"
"LSM","Automatic"
"mpssvc","Automatic"
"MSDTC","Manual"
"NcbService","Manual"
"netprofm","Manual"
"NlaSvc","Automatic"
"nsi","Automatic"
"OneSyncSvc_49e71","Automatic"
"PcaSvc","Manual"
"PlugPlay","Manual"
"Power","Automatic"
"ProfSvc","Automatic"
"RasMan","Automatic"
"RpcEptMapper","Automatic"
"RpcSs","Automatic"
"SamSs","Automatic"
"Schedule","Automatic"
"SDRSVC","Manual"
"SecurityHealthService","Manual"
"SEMgrSvc","Manual"
"SENS","Automatic"
"SgrmBroker","Automatic"
"ShellHWDetection","Automatic"
"SmsRouter","Manual"
"Spooler","Automatic"
"SSDPSRV","Manual"
"SstpSvc","Manual"
"StateRepository","Manual"
"StorSvc","Manual"
"SysMain","Automatic"
"SystemEventsBroker","Automatic"
"TabletInputService","Manual"
"Themes","Automatic"
"TimeBrokerSvc","Manual"
"TokenBroker","Manual"
"TrkWks","Automatic"
"UserManager","Automatic"
"UsoSvc","Automatic"
"VaultSvc","Manual"
"VGAuthService","Automatic"
"VMTools","Automatic"
"VMware Physical Disk Helper Service","Automatic"
"Wcmsvc","Automatic"
"WdiServiceHost","Manual"
"WdiSystemHost","Manual"
"WdNisSvc","Manual"
"WinDefend","Automatic"
"WinHttpAutoProxySvc","Manual"
"Winmgmt","Automatic"
"wlidsvc","Manual"
"WpnService","Automatic"
"WpnUserService_49e71","Automatic"
"wscsvc","Automatic"
"WSearch","Automatic"
"wuauserv","Manual"
